Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date
32;AGIO;Agios Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00847X1046;;1,00;0,01;USD;31.10.2019 0:00:00
33;AIG;American International Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0268747849;;1,00;0,01;USD;06.10.2016 0:00:00
34;AIMT;Aimmune Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00900T1079;;1,00;0,01;USD;31.10.2019 0:00:00
35;AIR;AAR CORP.;Акции;Акции иностранного эмитента обыкновенные;;US0003611052;;1,00;0,01;USD;28.02.2019 0:00:00
36;AIV;Apartment Investment & Management Company;Акции;Акции иностранного эмитента обыкновенные класса A;;US03748R7540;;1,00;0,01;USD;07.03.2019 0:00:00
37;AIZ;Assurant, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US04621X1081;;1,00;0,01;USD;23.11.2016 0:00:00
38;AJG;Arthur J. Gallagher & Co.;Акции;Акции иностранного эмитента обыкновенные;;US3635761097;;1,00;0,01;USD;31.08.2017 0:00:00
39;AJRD;Aerojet Rocketdyne Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0078001056;;1,00;0,01;USD;31.10.2019 0:00:00
40;AKAM;Akamai Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US00971T1016;;1,00;0,01;USD;23.11.2016 0:00:00
41;AKZM;“Aktobe Metalware Plant” JSC;Акции;Акции иностранного эмитента обыкновенные;;KZ1C00001288;;1,00;0,10;RUB;26.09.2016 0:00:00
42;ALB;Albemarle Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0126531013;;1,00;0,01;USD;31.08.2017 0:00:00
43;ALFA0421;Alfa Bond Issuance PLC;Облигации;Облигации иностранного эмитента;;XS0620695204;DYFXXR;1,00;0,01;PCT;08.05.2018 0:00:00
44;ALFA0430;Alfa Bond Issuance PLC;Облигации;Облигации иностранного эмитента;;XS2063279959;;1,00;0,01;PCT;01.11.2019 0:00:00
45;ALFAperp;Alfa Bond Issuance PLC;Облигации;Облигации иностранного эмитента;;XS1760786340;DTFXFR;1,00;0,01;PCT;15.10.2018 0:00:00
46;ALFAperp0222;Alfa Bond Issuance PLC;Облигации;Облигации иностранного эмитента;;XS1513741311;DTFXFR;1,00;0,01;PCT;15.10.2018 0:00:00
47;ALGN;Align Technology, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0162551016;;1,00;0,01;USD;31.08.2017 0:00:00
48;ALGT;Allegiant Travel Company;Акции;Акции иностранного эмитента обыкновенные;;US01748X1028;;1,00;0,01;USD;04.04.2019 0:00:00
49;ALK;Alaska Air Group, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0116591092;;1,00;0,01;USD;31.08.2017 0:00:00
50;ALL;The Allstate Corporation;Акции;Акции иностранного эмитента обыкновенные;;US0200021014;;1,00;0,01;USD;23.11.2016 0:00:00
51;ALLE;Allegion Public Limited Company;Акции;Акции иностранного эмитента обыкновенные;;IE00BFRT3W74;;1,00;0,01;USD;01.06.2017 0:00:00
52;ALLK;Allakos Inc.;Акции;Акции иностранного эмитента обыкновенные;;US01671P1003;;1,00;0,01;USD;11.06.2019 0:00:00
53;ALLO;Allogene Therapeutics, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0197701065;;1,00;0,01;USD;31.10.2019 0:00:00
54;ALNY;Alnylam Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US02043Q1076;;1,00;0,01;USD;05.08.2019 0:00:00
55;ALRM;Alarm.com Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0116421050;;1,00;0,01;USD;11.06.2019 0:00:00
56;ALSN;Allison Transmission Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US01973R1014;;1,00;0,01;USD;31.01.2019 0:00:00
57;ALTR;Altair Engineering Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US0213691035;;1,00;0,01;USD;31.10.2019 0:00:00
58;ALV;Autoliv, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0528001094;;1,00;0,01;USD;28.02.2019 0:00:00
59;ALXN;Alexion Pharmaceuticals, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0153511094;;1,00;0,01;USD;23.11.2016 0:00:00
60;AMAT;Applied Materials, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US0382221051;;1,00;0,01;USD;23.11.2016 0:00:00
61;AMCX;AMC Networks Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US00164V1035;;1,00;0,01;USD;31.01.2019 0:00:00
