DRI P/E =  14.67 P/B =  3.92 Price = 75.63
DRQ P/E =  - P/B =  0.94 Price = 27.06
DVA P/E =  13.19 P/B =  4.92 Price = 76.81
DVN P/E =  - P/B =  1.17 Price = 12.14
DXC P/E =  - P/B =  0.45 Price = 15.48
DXCM P/E =  254.55 P/B =  39.81 Price = 405.25
DY P/E =  123.81 P/B =  1.50 Price = 39.62
EA P/E =  11.69 P/B =  4.66 Price = 119.82
EBAY P/E =  20.11 P/B =  15.46 Price = 43.45
EBS P/E =  65.32 P/B =  4.09 Price = 84.59
ECHO P/E =  61.44 P/B =  1.34 Price = 19.23
ECL P/E =  37.75 P/B =  6.56 Price = 200.50
ECPG P/E =  9.30 P/B =  1.11 Price = 31.92
ED P/E =  18.05 P/B =  1.28 Price = 70.18
EDIT P/E =  - P/B =  7.00 Price = 30.10
EEFT P/E =  17.66 P/B =  3.81 Price = 91.59
EFX P/E =  66.68 P/B =  7.47 Price = 147.03
EGHT P/E =  - P/B =  8.52 Price = 15.84
EGRX P/E =  329.63 P/B =  3.99 Price = 53.07
EHTH P/E =  55.44 P/B =  4.17 Price = 133.66
EIX P/E =  16.38 P/B =  1.53 Price = 56.43
EL P/E =  50.31 P/B =  14.83 Price = 178.20
ELAN P/E =  - P/B =  1.15 Price = 18.94
EME P/E =  10.67 P/B =  1.71 Price = 62.06
EMN P/E =  11.16 P/B =  1.46 Price = 65.46
EMR P/E =  15.90 P/B =  4.51 Price = 55.87
ENDP P/E =  - P/B =  - Price = 3.86
ENS P/E =  16.79 P/B =  1.90 Price = 61.44
ENSG P/E =  23.04 P/B =  3.42 Price = 43.24
ENTA P/E =  49.42 P/B =  2.27 Price = 55.30
ENTG P/E =  28.17 P/B =  6.73 Price = 58.50
ENV P/E =  - P/B =  4.25 Price = 69.47
EOG P/E =  14.37 P/B =  1.41 Price = 52.28
EPAM P/E =  45.27 P/B =  7.50 Price = 223.45
EPAY P/E =  - P/B =  5.31 Price = 48.63
EPC P/E =  - P/B =  1.14 Price = 28.40
EQIX P/E =  112.85 P/B =  6.61 Price = 670.02
EQT P/E =  - P/B =  0.36 Price = 13.74
ERIE P/E =  33.44 P/B =  8.06 Price = 172.19
ES P/E =  27.57 P/B =  1.97 Price = 78.46
ESPR P/E =  - P/B =  - Price = 43.51
ESS P/E =  24.59 P/B =  2.51 Price = 236.41
ET P/E =  11.50 P/B =  1.14 Price = 8.20
ETFC P/E =  11.89 P/B =  1.57 Price = 41.16
ETN P/E =  15.45 P/B =  2.26 Price = 78.67
ETR P/E =  17.64 P/B =  1.91 Price = 97.96
ETRN P/E =  - P/B =  4.46 Price = 7.85
ETSY P/E =  131.32 P/B =  22.52 Price = 77.48
EV P/E =  10.52 P/B =  3.16 Price = 35.91
EVBG P/E =  - P/B =  21.09 Price = 144.49
EVH P/E =  - P/B =  0.74 Price = 8.13
EVR P/E =  8.61 P/B =  2.58 Price = 52.61
EW P/E =  41.79 P/B =  11.68 Price = 218.81
EWBC P/E =  7.51 P/B =  0.99 Price = 33.67
EXAS P/E =  - P/B =  4.88 Price = 83.59
EXC P/E =  11.61 P/B =  1.11 Price = 36.85
EXEL P/E =  26.42 P/B =  4.30 Price = 24.62
EXLS P/E =  27.09 P/B =  3.09 Price = 58.90
EXP P/E =  40.65 P/B =  3.03 Price = 65.85
EXPD P/E =  21.79 P/B =  5.98 Price = 72.06
EXPE P/E =  - P/B =  4.84 Price = 77.95
EXR P/E =  25.87 P/B =  4.65 Price = 86.23
EYE P/E =  82.64 P/B =  2.59 Price = 25.37
F P/E =  - P/B =  0.76 Price = 5.65
FANG P/E =  - P/B =  0.53 Price = 42.94
FARO P/E =  - P/B =  3.20 Price = 57.62
FAST P/E =  27.73 P/B =  8.35 Price = 38.68
FATE P/E =  - P/B =  12.19 Price = 35.23
FB P/E =  33.80 P/B =  6.36 Price = 234.91
FBHS P/E =  18.69 P/B =  3.58 Price = 60.54
FCFS P/E =  19.00 P/B =  2.39 Price = 68.85
FCN P/E =  20.95 P/B =  2.86 Price = 115.40
FCX P/E =  - P/B =  1.43 Price = 8.74
FDS P/E =  30.64 P/B =  15.29 Price = 289.34
FDX P/E =  - P/B =  1.62 Price = 117.00
FFIV P/E =  24.46 P/B =  4.18 Price = 137.31
FGEN P/E =  - P/B =  7.08 Price = 36.82
FICO P/E =  51.34 P/B =  53.05 Price = 389.40
FIS P/E =  255.94 P/B =  1.71 Price = 136.16
FISV P/E =  57.36 P/B =  2.21 Price = 103.93
FITB P/E =  7.73 P/B =  0.63 Price = 17.61
FIVE P/E =  31.91 P/B =  7.30 Price = 99.55
FIVN P/E =  - P/B =  31.26 Price = 104.71
FIZZ P/E =  21.65 P/B =  6.04 Price = 55.37
FL P/E =  5.93 P/B =  1.14 Price = 26.83
FLIR P/E =  49.03 P/B =  3.53 Price = 45.06
FLOW P/E =  34.12 P/B =  1.72 Price = 31.94
FLR P/E =  - P/B =  0.97 Price = 10.82
FLS P/E =  16.96 P/B =  1.99 Price = 25.20
FLT P/E =  24.74 P/B =  7.27 Price = 239.25
FLWS P/E =  41.01 P/B =  4.09 Price = 24.65
FMC P/E =  22.37 P/B =  4.52 Price = 93.30
FND P/E =  33.37 P/B =  6.26 Price = 49.79
FNKO P/E =  27.95 P/B =  0.75 Price = 4.78
FOCS P/E =  127.00 P/B =  2.55 Price = 27.94
FOE P/E =  23.51 P/B =  2.75 Price = 11.78
